customer_unique_id,R,F,M
00172711b30d52eea8b313a7f2cced02,5645771.0,2,244.14
004288347e5e88a27ded2bb23747066c,23882004.0,2,354.37
004b45ec5c64187465168251cd1c9c2f,12433650.0,2,147.72
0058f300f57d7b93c477a131a59b36c3,18055237.0,2,175.58
00a39521eb40f7012db50455bf083460,11776641.0,2,123.25
00cc12a6d8b578b8ebd21ea4e2ae8b27,49673095.0,2,126.2
011575986092c30523ecb71ff10cb473,15708730.0,2,214.9
011b4adcd54683b480c4d841250a987f,21102561.0,2,236.3
012452d40dafae4df401bced74cdb490,13497453.0,2,495.33
012a218df8995d3ec3bb221828360c86,10470100.0,2,1510.38
013ef03e0f3f408dd9bf555e4edcdc0a,7737384.0,2,245.37
013f4353d26bb05dc6652f1269458d8d,27921560.0,2,356.39
015557c9912277312b9073947804a7ba,46147305.0,2,315.12
0178b244a5c281fb2ade54038dd4b161,7013838.0,2,259.89
01886ef98f995e4f2dd75a1d04c97397,19174254.0,2,75.31
018b5a7502c30eb5f230f1b4eb23a156,36544812.0,2,110.18
01a22e2079ea71e17313b88e5811e54a,23133750.0,2,165.34
01c289bb06354cdc7e6549570f20ada4,25474535.0,2,242.5
01ea7dfdac01a4e8fbe2902b73510b20,21599613.0,2,276.75
01f2285f85a1c603eb7ef755ad311769,12019155.0,2,463.03999999999996
02168ea18740a0fdaaa15f11bebba5db,32210659.0,2,264.04
0241fa2e9adf0576cb0f845377d05c03,7329965.0,2,199.03
027803eb28cc01fbdf5da72b109fabee,31557720.0,2,101.43
029b457bd01199c39136f89e0eddcd3a,24703709.0,2,347.55
02e4c56fefa30628768ffe326d332e2f,24124983.0,2,96.63
02e9109b7e0a985108b43e573b6afb23,13501523.0,3,602.73
02e9827c15167f699df7bf90d326ffdb,16672071.0,2,68.86
02fbe4db886eb98774c8ba300d39fa79,20927216.0,2,192.63
031ea691b99fc101dcad357d1a83573f,40071705.0,2,73.04
032b3a42598667caf2e099999b9dc1b9,7330364.0,2,495.96
0333b2fc6ba7014702e08ef613850270,29854121.0,2,93.0
0341bbd5c969923a0f801b9e2d10a7b8,12112215.0,2,1999.6799999999998
035e7cd88b7450fd33efeca817081a53,9246568.0,2,146.19
0361e980b28826f4d286ac144d9b319a,9329204.0,2,456.91999999999996
038301b43811478e1a8dc0e476eaf52e,16230686.0,2,645.53
0396c443fdda5498c7e9ed5b34871c5a,45823520.0,2,120.84
03d4953a455f8489e712ea80699de878,7609469.0,2,72.65
03dabd77cb0ed7a26fafe19e36b67742,44954161.0,2,99.44999999999999
03ef7f03905227e15c7b6c860554b3cb,7878179.0,2,238.55
041caba6a63ace5818387698ea85cdb2,12627585.0,3,153.45999999999998
043aee247e71edff7045664609f4d806,39479369.0,3,690.52
0451ef5a31cea3e14ce02d768d7c9943,41981371.0,2,387.39
0488328f0b499963e32a37fa42a20ca0,35009523.0,2,384.16999999999996
048dbdf8f9bbd1be87b25868d1408311,29842267.0,2,178.95
04be500031efe43d2defff8c41810543,22323269.0,2,255.79000000000002
04c55667b44fae5f50ed71d40c633d09,42931127.0,2,118.25
04d3c2795b83634312bf3f86f41f7901,37572205.0,2,596.39
04e495a3f45df8b41be2e934bbc16961,23057059.0,2,199.76
04fc637963fe982dd25ac58e4f4770c1,17784606.0,2,127.59
0509ab034845adb0b4c91b6f0e7b7260,14337963.0,2,339.46
053b7090271ed4dacbfe0afd6382bbab,33156998.0,2,115.49
053f7850c3ffd9726cff61c7e42af797,41026051.0,2,61.54
055ec572ac7f3c7bdd04a183830ebe59,39393663.0,2,4053.08
05669445931c028d97b7c0637b5a2359,32401635.0,2,210.78
059d1f5650f05d9fed9a6d941593f9b4,18404958.0,2,131.94
059e7585d8fcd2430a33375bdbcbb990,5117204.0,2,498.47
05e52c1f96f8b83dd66dcdce679ff58d,38900268.0,2,239.16
05edb10f73fe7d03959ff26540913b3a,24820737.0,2,231.49
05ef855308303397f1427f29470bb6ab,18344638.0,2,87.5
060f9ea0a180843fb91d4923b6d01bea,19100973.0,2,628.63
0621c2a5979d3e887ae519620cbe2926,37438952.0,2,514.49
065938485846aa5adc196cb536de42e0,20403781.0,2,442.19
065dcef61d5f66b30d2ee51b5343d023,27719982.0,2,188.51999999999998
0697142614905a50813d854fa08b8eaf,7436222.0,2,103.13
06a52782a04f0086d16b9c22d0e29438,45695947.0,2,153.32999999999998
06d26e5230ac619719997a8cf435a69b,16834312.0,2,68.81
070acf4df1234a6257809e4e79644481,7897700.0,2,1011.02
071bb277b0146da77fac31e70657815e,15973682.0,2,130.64
071fb07419a29c8ba143831082e0320a,24224553.0,2,475.11
073037acc049d2be44730a7e39836046,26108350.0,2,298.87
07342638d0e0aad32c3cf0efc1a37ba5,33296534.0,2,619.38
0751ebe1c05ef7a632934adae06c6d4a,38965037.0,2,188.79
075c38f7a650b0dc822712c7a58e93d4,31350158.0,2,126.02000000000001
076b7055bea51da430d6a6fa054e5075,42761828.0,2,113.96000000000001
078f7e669cebf2fb640d0ad0dabb3068,13956257.0,2,71.57
07abcea6f64399366559afee336a7fd2,19510964.0,2,198.49
07b1b60bca2b6326fa2adb259ea4a55f,13911237.0,3,251.54
07b28cf1d8515d08ccca505e273fffaf,49433613.0,2,637.01
07bd3d18ecba2420a8934b34a26f157a,15617080.0,2,202.81
07f61caa1c9e850c14e94854cec87545,37852674.0,2,99.41
07f765655f560c8624267665ce23675a,15822153.0,2,530.77
07ff81a9676efa0286ddd3f09e7c0063,11057651.0,2,484.32
0802a1a217680f13264a70ddb7220823,52468900.0,2,192.7
0807baeeeaa1309effbd9a9dee41ab17,14059439.0,2,384.44
083ca1aa470c280236380973a48f77c6,5598619.0,4,320.26
083ce299ea3fc1eba79bd0b17f64555b,4761212.0,2,113.95
084be429c23e342acf5084ac6156d22e,7522592.0,2,177.82999999999998
08642cd329066fe11ec63293f714f2f8,2345762.0,2,382.92
0895c61a77b305efdfad13596c749c60,16349460.0,2,923.4
089bc915af34d9041b3a88a1aa84292b,23834762.0,2,123.47
08a374bca4063116d5530a7b04ecaf3f,5633902.0,2,342.77
08b57f87bc889756ca453bf8106d48ce,10041326.0,2,118.25999999999999
08c07c761592a71b85136aa4fe76a6f4,16768890.0,3,405.03
08d8ad84b0088cbeae77da4ff3817479,13248686.0,2,259.81
08e5b38d7948d37fbb2a59fc5e175ab1,13873911.0,4,1056.33
08f334e84bc7ab7b588cb7fc77dd7f4a,5475336.0,2,1570.4
08fb46d35bb3ab4037202c23592d1259,11666730.0,2,44.72
0937f85b7a96b6ad600405e9bf94255b,13659388.0,2,97.46
0942eedfe0e865b2a80419a14672286f,23222337.0,2,244.23
